index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
5509,Current Account (YoY)_2,NZDUSD,2,0.785,418.5,426.9,[177.7 240.8],[182.2 244.7],[ 66.5 119.9],[ 63.5 112.9],[111.2 181.2],[118.7 191.5],[ 69.  102.9],[ 67.2 100.5],[ 64.6 109.9],[ 64.1 108.2],"(array([74.6, 93.8]),)","(array([72.6, 92. ]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5510,Current Account (YoY)_2.5,NZDUSD,2,0.785,446.5,454.6,[195.5 251. ],[198.3 256.3],[ 73.1 127.7],[ 71.2 122.5],[122.4 195.4],[127.1 203.4],[ 83.9 133.5],[ 84.6 136.2],[ 78.1 127.9],[ 79.3 128.2],"(array([ 85.7, 118.4]),)","(array([ 85.1, 120.2]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5511,Current Account (YoY)_3,NZDUSD,2,0.725,455.9,465.3,[201.2 254.7],[205.  260.3],[ 78.9 135.7],[ 77.9 132.1],[122.4 195.4],[127.1 203.4],[ 96.1 150.4],[ 98.7 155.2],[ 78.1 127.9],[ 79.3 128.2],"(array([ 81.9, 114. ]),)","(array([ 80.6, 114.9]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5512,Current Account (YoY)_3.5,NZDUSD,2,0.945,506.6,516.5,[229.  277.6],[232.4 284.1],[101.2 160.2],[104.  160.4],[127.8 202.6],[128.4 204.3],[129.5 201.7],[137.7 211.2],[ 90.  155.1],[ 86.9 145.7],"(array([116.8, 164. ]),)","(array([115. , 164.4]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5513,Current Account (YoY)_4,NZDUSD,2,1.0,541.1,554.6,[245.  296.1],[250.8 303.8],[110.7 172.9],[115.1 174.6],[134.3 207.2],[135.7 209.2],[171.2 245.7],[186.4 254.6],[101.8 179.6],[ 99.9 173.9],"(array([142.1, 185.5]),)","(array([143.8, 188.5]),)","(array([20.4, 30.4]),)","(array([22.1, 31.7]),)","(array([12.4, 20.8]),)","(array([13.2, 21.9]),)"
5514,Economic Forecast_0.5,NZDUSD,2,0.845,335.8,291.4,[130.4 205.4],[114.3 177.1],[ 68.  134.9],[ 72.2 146.7],[ 62.4 129.6],[42.2 86.8],[10.5 22.5],[ 9.5 19.7],[ 6.5 18.5],[ 5.7 17.8],"(array([21. , 29.5]),)","(array([19.7, 27.9]),)","(array([39.7, 64.8]),)","(array([33.7, 60.3]),)","(array([20.2, 39.4]),)","(array([13.7, 33.2]),)"
5515,Economic Forecast_1,NZDUSD,2,0.885,425.8,410.3,[170.2 255.6],[163.1 247.2],[ 83.3 153.9],[ 90.3 169. ],[ 86.9 172.2],[ 72.7 141.1],[24.6 48.6],[25.2 49.3],[21.3 45.1],[24.7 47.8],"(array([36.7, 54.2]),)","(array([36.8, 52. ]),)","(array([39.3, 64.8]),)","(array([33.7, 60.3]),)","(array([19.4, 38.6]),)","(array([13.7, 33.2]),)"
5516,Economic Forecast_1.5,NZDUSD,2,0.855,506.2,455.9,[207.3 298.9],[186.8 269.1],[108.1 187.4],[110.2 187.4],[ 99.2 199.3],[ 76.7 149.8],[45.9 76.1],[48.7 74.9],[28.4 58.7],[29.7 58.8],"(array([47.1, 72.7]),)","(array([38.6, 62.4]),)","(array([39.3, 64.8]),)","(array([33.7, 60.3]),)","(array([19.4, 38.6]),)","(array([13.7, 33.2]),)"
5517,Economic Forecast_2,NZDUSD,2,0.93,572.0,508.4,[235.4 336.6],[207.6 300.8],[129.1 234. ],[130.9 227.1],[106.3 214.8],[ 76.7 149.8],[ 62.3 108.2],[ 68.7 110.7],[38.1 76.1],[29.7 58.8],"(array([69.4, 99.2]),)","(array([58.6, 86.2]),)","(array([35.3, 57.7]),)","(array([33.7, 60.3]),)","(array([16.9, 34.6]),)","(array([13.7, 33.2]),)"
5518,Economic Forecast_2.5,NZDUSD,2,0.95,614.8,580.0,[256.  358.8],[237.4 342.6],[145.1 263.1],[156.1 277.3],[110.9 220.1],[ 81.3 154.4],[ 72.9 130.6],[ 83.4 140.1],[45.  92.8],[38.8 82.1],"(array([ 81.3, 121.5]),)","(array([ 71.7, 114.3]),)","(array([35.3, 57.7]),)","(array([33.7, 60.3]),)","(array([16.9, 34.6]),)","(array([13.7, 33.2]),)"
