index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
3292,GDP (YoY)_0.5,NZDCHF,2,0.965,298.5,332.4,[122.4 176.1],[134.6 197.8],[ 75.3 133.7],[ 90.3 149.2],[ 47.1 105.1],[ 44.2 119. ],[16.2 28.2],[17.7 28.5],[ 9.1 21.5],[ 6.4 19.9],"(array([22. , 29.3]),)","(array([23.2, 30.7]),)","(array([36.3, 62.5]),)","(array([35.2, 55.9]),)","(array([18.3, 36.7]),)","(array([16.6, 33.1]),)"
3293,GDP (YoY)_1,NZDCHF,2,0.965,415.8,436.2,[169.7 246.1],[169.2 267. ],[101.9 173.6],[ 99.7 162.5],[ 67.8 157.4],[ 69.6 189.1],[35.2 55.9],[25.2 42.4],[18.5 41.3],[21.2 48.5],"(array([39.6, 54. ]),)","(array([36.6, 50.3]),)","(array([36.3, 62.5]),)","(array([35.2, 55.9]),)","(array([18.3, 36.7]),)","(array([16.6, 33.1]),)"
3294,GDP (YoY)_1.5,NZDCHF,2,0.84,524.0,512.9,[213.5 310.5],[202.7 310.2],[127.1 214.4],[115.3 183.7],[ 86.5 199.5],[ 87.4 216.3],[49.3 80.1],[36. 64.],[31.5 66.3],[30.7 64.3],"(array([57.7, 78. ]),)","(array([52.6, 71.5]),)","(array([36.3, 62.5]),)","(array([35.2, 55.9]),)","(array([18.3, 36.7]),)","(array([16.6, 33.1]),)"
3295,GDP (YoY)_2,NZDCHF,2,0.925,595.0,650.3,[243. 352.],[258.1 392.2],[137.6 233.1],[132.2 203.3],[105.4 238.5],[125.9 302.2],[60.6 98.4],[ 63.7 107.4],[ 55.3 104.2],[ 75.3 121.8],"(array([69.6, 96.7]),)","(array([ 69.5, 100.2]),)","(array([36.3, 62.5]),)","(array([35.2, 55.9]),)","(array([18.3, 36.7]),)","(array([16.6, 33.1]),)"
3296,GDP (YoY)_2.5,NZDCHF,2,0.925,650.4000000000001,719.7,[265.8 384.6],[281.6 438.1],[141.5 241.1],[130.1 203.1],[124.3 272.5],[151.5 351.9],[ 77.2 129.1],[ 71.7 123.7],[ 67.6 123.9],[ 93.1 143.2],"(array([ 86. , 123.9]),)","(array([ 77.5, 117.5]),)","(array([36.1, 62.5]),)","(array([34.2, 54.7]),)","(array([18.1, 36.6]),)","(array([15.7, 31.9]),)"
3297,GDP (YoY)_3,NZDCHF,2,0.85,687.7,791.9,[276.3 411.4],[301.4 490.5],[143.4 243.4],[133.6 208.5],[132.9 298.4],[167.8 403.6],[ 78.9 133.1],[ 73.3 127.9],[ 76.8 140.9],[101.3 160.3],"(array([ 90. , 132.3]),)","(array([ 87.3, 133.5]),)","(array([36.1, 62.5]),)","(array([34.2, 54.7]),)","(array([18.1, 36.6]),)","(array([15.7, 31.9]),)"
3298,GDP (YoY)_3.5,NZDCHF,2,0.9,719.8,825.5999999999999,[292.7 427.1],[322.4 503.2],[148.7 251.4],[140.9 225.7],[144.  310.8],[181.5 412.4],[ 90.4 155.4],[ 79.4 143.8],[ 89.9 163.5],[122.9 185.4],"(array([109.2, 156.8]),)","(array([109.3, 166.4]),)","(array([36.1, 62.5]),)","(array([34.2, 54.7]),)","(array([18.1, 36.6]),)","(array([15.7, 31.9]),)"
3299,GDP (YoY)_4,NZDCHF,2,0.96,738.4,835.6,[302.7 435.7],[328.  507.6],[152.3 258. ],[140.9 225.7],[150.4 316.7],[187.1 414.7],[ 95.8 168.8],[ 79.4 143.8],[110.6 198.7],[158.9 216.2],"(array([120.8, 177. ]),)","(array([102.5, 155.1]),)","(array([36.1, 62.5]),)","(array([34.2, 54.7]),)","(array([18.1, 36.6]),)","(array([15.7, 31.9]),)"
3300,Industrial Production_0.5,NZDCHF,2,1.0,583.2,583.2,[225.5 357.7],[225.5 357.7],[124.3 199.9],[124.3 199.9],[101.2 250.9],[101.2 250.9],[12.  20.7],[12.  20.7],[13.  27.9],[13.  27.9],"(array([17.2, 25.8]),)","(array([17.2, 25.8]),)","(array([63.7, 94.9]),)","(array([63.7, 94.9]),)","(array([34.7, 60.7]),)","(array([34.7, 60.7]),)"
3301,Industrial Production_1,NZDCHF,2,0.93,814.4,814.4,[300.5 513.9],[300.5 513.9],[147.  257.3],[147.  257.3],[153.5 390.5],[153.5 390.5],[20.2 39.5],[20.2 39.5],[25.1 47.1],[25.1 47.1],"(array([29.7, 45.8]),)","(array([29.7, 45.8]),)","(array([63.7, 94.9]),)","(array([63.7, 94.9]),)","(array([34.7, 60.7]),)","(array([34.7, 60.7]),)"
3302,Industrial Production_1.5,NZDCHF,2,0.875,903.6,903.6,[337.7 565.9],[337.7 565.9],[171.  289.2],[171.  289.2],[166.7 432.7],[166.7 432.7],[42.2 78.2],[42.2 78.2],[34.2 68.1],[34.2 68.1],"(array([53.3, 79.2]),)","(array([53.3, 79.2]),)","(array([63. , 95.8]),)","(array([63. , 95.8]),)","(array([34.1, 61.5]),)","(array([34.1, 61.5]),)"
