index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
2158,Corporate Profits_3.5,CADJPY,2,0.895,1329.4,1212.8,[512.9 816.5],[476.9 735.9],[238.2 444.6],[230.2 436.1],[274.7 540.7],[246.7 523.8],[ 90.4 159.9],[ 90.  161.8],[ 74.4 143.9],[ 70.7 137.3],"(array([109.7, 160.6]),)","(array([123.6, 181.6]),)","(array([57.6, 92.8]),)","(array([50.2, 69.9]),)","(array([28.1, 50.8]),)","(array([22.5, 38.9]),)"
2159,Corporate Profits_4,CADJPY,2,0.89,1418.1,1236.0,[545.9 872.2],[487.8 748.2],[257.1 506.3],[240.7 455.7],[288.8 561.4],[247.1 524.3],[100.6 179.1],[ 96.5 178.6],[ 89.4 170.3],[ 82.4 163.6],"(array([129.2, 188.6]),)","(array([141.7, 211.4]),)","(array([59.3, 94.4]),)","(array([50.2, 69.9]),)","(array([28.8, 51.8]),)","(array([22.5, 38.9]),)"
2160,Current Account_0.5,CADJPY,3,0.9566666666666668,474.5,375.3,[195.7 278.8],[153.  222.3],[ 89.7 151. ],[ 80.5 132.5],[106.  194.2],[ 72.5 143.4],[ 9.8 22.5],[14.2 27.2],[13.6 25.5],[ 7.1 17.4],"(array([20.8, 29.3]),)","(array([21. , 29.2]),)","(array([55.4, 87.7]),)","(array([43.5, 61.2]),)","(array([24.5, 41.5]),)","(array([23.5, 36.3]),)"
2161,Current Account_1,CADJPY,2,0.91,662.4,606.4,[276.7 385.7],[247.2 359.2],[116.6 204.3],[143.5 259.1],[160.1 276.2],[103.7 208.2],[19.7 42.9],[28.3 51.1],[29.1 50.9],[20.1 45.1],"(array([36.9, 53.6]),)","(array([40.6, 59.1]),)","(array([55.4, 87.7]),)","(array([43.5, 61.2]),)","(array([24.5, 41.5]),)","(array([23.5, 36.3]),)"
2162,Current Account_1.5,CADJPY,2,0.875,877.6,844.8,[366.8 510.8],[343.7 501.1],[153.8 260.2],[175.5 308.7],[213.  369.9],[168.2 339. ],[34.1 69.2],[49.2 83. ],[47.4 79. ],[37.1 73.9],"(array([56.4, 79.2]),)","(array([58.7, 84.9]),)","(array([55.5, 88.2]),)","(array([43.5, 61.2]),)","(array([24.8, 41.9]),)","(array([23.5, 36.3]),)"
2163,Current Account_2,CADJPY,2,0.88,978.7,872.1,[401.7 577. ],[362.6 509.5],[176.2 312.1],[192.5 325. ],[225.4 385.8],[170.1 339.8],[42.7 83.4],[58.8 95.6],[55.6 92. ],[48.7 91.9],"(array([64.1, 91. ]),)","(array([71.2, 93.7]),)","(array([55.5, 88.2]),)","(array([43.5, 61.2]),)","(array([24.8, 41.9]),)","(array([23.5, 36.3]),)"
2164,Current Account_2.5,CADJPY,3,0.5533333333333333,1028.0,876.2,[417.3 610.7],[364.7 511.5],[181.6 325.1],[194.7 328.2],[235.7 417.2],[170.1 339.8],[ 52.9 104.2],[ 67.7 115. ],[ 60.1 104.2],[48.7 91.9],"(array([ 75.2, 112.6]),)","(array([ 80.1, 108.8]),)","(array([55.4, 88.4]),)","(array([43.5, 61.2]),)","(array([24.5, 41.6]),)","(array([23.5, 36.3]),)"
2165,Current Account_3,CADJPY,3,0.5766666666666667,1115.4,917.2,[445.1 670.3],[379.7 537.5],[193.4 340.9],[208.7 356.2],[251.7 469.6],[170.9 340.4],[ 79.  144.3],[ 92.2 152.5],[ 66.5 119.2],[ 54.3 108.4],"(array([ 87.9, 131.7]),)","(array([ 99.9, 138.2]),)","(array([55.4, 88.4]),)","(array([43.5, 61.2]),)","(array([24.5, 41.6]),)","(array([23.5, 36.3]),)"
2166,Current Account_3.5,CADJPY,2,0.93,1203.3,963.8,[476.4 726.9],[399.7 564.1],[215.4 392.4],[225.2 389.1],[261. 481.],[174.5 342.5],[ 97.9 177.2],[106.7 178.5],[ 79.3 140.9],[ 62.5 129.4],"(array([109.8, 160. ]),)","(array([122.6, 170. ]),)","(array([56.1, 89.4]),)","(array([43.5, 61.2]),)","(array([24.7, 42. ]),)","(array([23.5, 36.3]),)"
2167,Current Account_4,CADJPY,2,0.885,1220.0,963.8,[484.2 735.8],[399.7 564.1],[225.4 406.3],[225.2 389.1],[258.8 478.3],[174.5 342.5],[104.8 188.9],[106.7 178.5],[ 85.2 152.9],[ 62.5 129.4],"(array([118.6, 173. ]),)","(array([122.6, 170. ]),)","(array([55.1, 88.1]),)","(array([43.5, 61.2]),)","(array([24.2, 41.2]),)","(array([23.5, 36.3]),)"
2168,Employment Change_0.5,CADJPY,2,0.88,961.2,1074.0,[367.2 594. ],[436. 638.],[192.2 408.1],[204.6 408.8],[175. 350.],[231.4 442.4],[10.3 22.3],[12.6 23.1],[ 9.  20.7],[ 4.6 14.3],"(array([17.6, 27.1]),)","(array([18.5, 26.2]),)","(array([148.9, 312.9]),)","(array([125.3, 199.5]),)","(array([47.9, 98.6]),)","(array([55.2, 90.4]),)"
2169,Employment Change_1,CADJPY,2,0.905,1218.3,1247.4,[466.8 751.5],[493.7 753.7],[237.8 492.8],[249.1 463.1],[229.  461.3],[244.7 489. ],[20.8 42.6],[24.1 44. ],[20.1 42. ],[22.2 44.7],"(array([31.4, 49.3]),)","(array([34.6, 49.1]),)","(array([147.9, 313.1]),)","(array([119.2, 194.8]),)","(array([46.6, 95. ]),)","(array([54.3, 89. ]),)"
2170,Employment Change_1.5,CADJPY,2,0.87,1314.0,1435.7,[512.4 801.6],[582.7 853. ],[261.2 533.9],[301.1 536.6],[251.2 492.9],[281.7 543.9],[32.8 66. ],[52.7 89.7],[29.9 61.7],[31.1 64.2],"(array([49.1, 75.6]),)","(array([68.1, 83.9]),)","(array([146.9, 312.1]),)","(array([119.2, 194.8]),)","(array([46.3, 94.7]),)","(array([54.3, 89. ]),)"
