index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
7426,Deposit Facility Rate_4,EURCAD,2,0.87,3134.6,2778.9,[1154.6 1980. ],[1218.7 1560.2],[ 565.9 1399.5],[484.3 945.3],[ 588.7 1120. ],[ 734.4 1240.8],[ 70.  147.1],[ 55.7 119.2],[117.4 204.8],[135.7 217.5],"(array([144.1, 202.9]),)","(array([145.6, 202.5]),)","(array([161.4, 271.9]),)","(array([232.4, 374.3]),)","(array([ 72.1, 136.4]),)","(array([ 94.9, 160.7]),)"
7427,ECB Bank Lending Survey_0.5,EURCAD,2,1.0,344.0,358.4,[144.2 199.8],[150.5 207.9],[61.2 97.1],[61.9 99.1],[ 83.  138.2],[ 88.6 143.9],[11.6 22.9],[12.2 24. ],[12.4 23.1],[13.8 24.3],"(array([19.2, 25.5]),)","(array([20. , 26.2]),)","(array([51.7, 76.7]),)","(array([54.2, 80.3]),)","(array([18.4, 28.8]),)","(array([18.4, 29.3]),)"
7428,ECB Bank Lending Survey_1,EURCAD,2,0.855,429.7,447.9,[188.1 241.6],[198.6 249.3],[ 86.9 141.6],[ 88.8 144.8],[101.1 163. ],[109.7 170.4],[26.2 46.4],[27.6 48.1],[26.5 48.4],[30.2 51.5],"(array([33.9, 49.3]),)","(array([35.5, 50.6]),)","(array([51.7, 76.7]),)","(array([54.2, 80.3]),)","(array([18.4, 28.8]),)","(array([18.4, 29.3]),)"
7429,ECB Bank Lending Survey_1.5,EURCAD,2,0.9,505.9,532.4,[213.4 292.5],[228.2 304.2],[108.6 188.3],[114.2 197. ],[104.8 175.3],[114.  184.2],[47.8 83.6],[52.7 88.5],[27.8 51.9],[31.7 55.4],"(array([51.4, 76.4]),)","(array([56. , 79.4]),)","(array([51.7, 76.7]),)","(array([54.2, 80.3]),)","(array([18.4, 28.8]),)","(array([18.4, 29.3]),)"
7430,ECB Bank Lending Survey_2,EURCAD,2,1.0,669.0999999999999,707.5,[272.2 396.9],[292.1 415.4],[156.7 295.1],[170.2 314.2],[115.5 184.8],[121.8 194.7],[ 64.6 112.8],[ 72.4 119.8],[45.6 84.5],[42.3 77.3],"(array([ 72.6, 104.6]),)","(array([ 76.9, 105.9]),)","(array([51.7, 76.7]),)","(array([54.2, 80.3]),)","(array([18.4, 28.8]),)","(array([18.4, 29.3]),)"
7431,ECB Bank Lending Survey_2.5,EURCAD,2,1.0,703.2,715.7,[290.1 413.1],[294.3 421.4],[172.9 312.3],[177.3 321.6],[117.2 186.9],[117.  189.6],[ 81.4 135.9],[ 85.3 140.3],[ 52.2 100.2],[46.4 91.8],"(array([ 85.8, 116.4]),)","(array([ 85.6, 117.5]),)","(array([53.3, 78.5]),)","(array([54.7, 80.5]),)","(array([19.2, 29.6]),)","(array([18.7, 29.4]),)"
7432,ECB Bank Lending Survey_3,EURCAD,2,0.835,762.6,777.3,[323.  439.6],[328.9 448.4],[190.1 330.6],[194.9 340.1],[132.8 212.4],[134.  216.8],[123.5 182.8],[120.6 181.5],[ 69.8 132.5],[ 65.4 128.8],"(array([102.6, 146.6]),)","(array([108.2, 149.4]),)","(array([53.3, 78.5]),)","(array([54.7, 80.5]),)","(array([19.2, 29.6]),)","(array([18.7, 29.4]),)"
7433,ECB Bank Lending Survey_3.5,EURCAD,2,1.0,814.2,827.4,[355.8 458.4],[361.2 466.2],[212.6 351.6],[216.1 360.2],[143.2 225.3],[145.2 230.3],[135.8 205.3],[129.7 198.7],[100.2 181.6],[ 98.3 182.9],"(array([127.8, 176.3]),)","(array([131.2, 180.1]),)","(array([53.3, 78.5]),)","(array([54.7, 80.5]),)","(array([19.2, 29.6]),)","(array([18.7, 29.4]),)"
7434,ECB Bank Lending Survey_4,EURCAD,2,1.0,925.8,936.5,[401.6 524.2],[404.7 531.8],[223.8 362.6],[222.  366.2],[177.8 308.5],[182.7 317.6],[145.7 224.3],[138.3 215.7],[106.3 195.5],[105.  197.7],"(array([143.8, 185.5]),)","(array([146.5, 188.8]),)","(array([53.3, 78.5]),)","(array([54.7, 80.5]),)","(array([19.2, 29.6]),)","(array([18.7, 29.4]),)"
7435,ECB Economic Bulletin_0.5,EURCAD,4,0.9575,484.5,448.0,[193.1 291.4],[182.8 265.2],[ 92.8 168.2],[ 72.8 125.3],[100.4 199.5],[110.  193.3],[10.8 23.2],[ 8.6 19.4],[10.2 22. ],[14.2 27.4],"(array([19.1, 27. ]),)","(array([20.2, 28.7]),)","(array([ 68.7, 107.9]),)","(array([ 65.5, 103.4]),)","(array([33.7, 63.9]),)","(array([32.9, 63.2]),)"
7436,ECB Economic Bulletin_1,EURCAD,3,0.9033333333333332,656.5,628.0,[263.5 393. ],[259.7 368.3],[120.8 219.5],[107.5 190.3],[142.7 277.1],[152.2 288.3],[24.1 46.2],[27.2 53.8],[26.3 48.8],[25.6 44.5],"(array([35.2, 49.7]),)","(array([37.7, 54.2]),)","(array([ 68.7, 107.9]),)","(array([ 65.5, 103.4]),)","(array([33.7, 63.9]),)","(array([32.9, 63.2]),)"
7437,ECB Economic Bulletin_1.5,EURCAD,4,0.6875,779.2,681.4000000000001,[313.9 465.3],[287.6 393.8],[141.4 257.2],[133.1 213. ],[172.6 327.8],[154.5 298.7],[37.  69.2],[44.5 78.3],[42.1 74.5],[35.  62.1],"(array([51.6, 73.3]),)","(array([52.8, 67.9]),)","(array([ 68.9, 108.2]),)","(array([ 66.8, 104.1]),)","(array([33.8, 64.1]),)","(array([33.7, 63.8]),)"
7438,ECB Economic Bulletin_2,EURCAD,3,0.55,900.7,728.0,[363.  537.7],[311.4 416.6],[160.5 298.5],[128.7 208.9],[202.6 381.3],[182.7 337. ],[48.8 91.2],[44.9 86. ],[54.2 96.7],[51.4 90.6],"(array([69.4, 99. ]),)","(array([69. , 87.6]),)","(array([ 69. , 108.6]),)","(array([ 65.5, 103.4]),)","(array([33.8, 64.4]),)","(array([32.4, 62.9]),)"
7439,ECB Economic Bulletin_2.5,EURCAD,3,0.8733333333333333,989.5,823.3,[404.  585.5],[361.2 462.1],[178.2 324.2],[157.7 298. ],[225.8 417.6],[203.4 349. ],[ 64.4 118.7],[ 63.9 124.8],[ 71.9 124.4],[ 67.5 112.8],"(array([ 86.5, 123.2]),)","(array([ 91.4, 119.6]),)","(array([ 69.5, 109.2]),)","(array([ 68.9, 104.9]),)","(array([34.1, 64.8]),)","(array([33.6, 63.5]),)"
