index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
4171,Tankan Small Manufacturers Diffusion Index_0.5,AUDJPY,2,0.865,379.3,387.0,[157.1 222.2],[161.7 225.3],[ 62.4 118.6],[ 50.3 101.7],[ 94.7 159.5],[111.3 189.6],[ 7.6 18.9],[ 9.2 22.1],[13.6 24. ],[14.  23.2],"(array([17.3, 24.9]),)","(array([16.5, 22.9]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4172,Tankan Small Manufacturers Diffusion Index_1,AUDJPY,2,0.77,562.2,501.4,[225.  337.2],[209.6 291.8],[ 90.7 182.5],[ 60.5 122.4],[134.3 229.3],[149.1 243.3],[17.9 40.3],[15.9 39.4],[32.2 52.8],[29.6 51.2],"(array([36.8, 50.9]),)","(array([37.5, 52.3]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4173,Tankan Small Manufacturers Diffusion Index_1.5,AUDJPY,2,0.955,685.4000000000001,608.3,[281.8 403.6],[255.4 352.9],[124.  228.7],[ 85.  167.3],[157.8 266.2],[170.4 263.5],[43.2 79. ],[36.7 73.6],[42.7 70.2],[43.6 69.2],"(array([49.4, 72. ]),)","(array([42.7, 60.5]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4174,Tankan Small Manufacturers Diffusion Index_2,AUDJPY,2,0.94,786.5999999999999,703.1,[321.2 465.4],[287.3 415.8],[147.1 275. ],[108.3 212.2],[174.1 299.6],[179.  279.4],[ 61.1 106.4],[ 58.2 108.9],[49.7 84.9],[50.2 85.1],"(array([62. , 93.4]),)","(array([63.9, 94.6]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4175,Tankan Small Manufacturers Diffusion Index_2.5,AUDJPY,2,0.85,918.5,769.0,[365.2 553.3],[312.7 456.3],[180.7 358.6],[121.8 240.8],[184.5 327.6],[190.9 305.4],[ 72.4 126.5],[ 63.3 120. ],[ 59.4 105.9],[ 57.9 104.4],"(array([ 79.7, 118.5]),)","(array([ 76.7, 115.4]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4176,Tankan Small Manufacturers Diffusion Index_3,AUDJPY,2,0.925,982.8,919.4,[388.6 594.2],[360.2 559.2],[188.8 377.8],[131.3 262.5],[199.9 366.7],[228.9 413.9],[ 78.1 139.1],[ 72.8 140.5],[ 72.9 131.5],[ 73.4 137. ],"(array([ 94.6, 140. ]),)","(array([101.7, 152.5]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4177,Tankan Small Manufacturers Diffusion Index_3.5,AUDJPY,2,0.855,1054.2,1090.6,[414.  640.2],[411.2 679.4],[196.4 386. ],[148.4 281.5],[217.6 420.9],[262.7 537.4],[ 86.9 151.4],[ 84.7 153.4],[ 79.2 147. ],[ 82.1 157.7],"(array([103.4, 152.8]),)","(array([114.5, 173.4]),)","(array([48. , 79.8]),)","(array([44.9, 65.9]),)","(array([22.9, 42. ]),)","(array([22.4, 37.8]),)"
4178,Tankan Small Manufacturers Diffusion Index_4,AUDJPY,2,0.82,1184.0,1337.6999999999998,[455.3 728.7],[478.9 858.8],[215.4 415.6],[156.3 306.5],[239.8 501.5],[322.6 715.3],[111.3 193.8],[103.  191.4],[103.3 192. ],[114.1 214.7],"(array([123.9, 187.4]),)","(array([147.7, 221.7]),)","(array([48. , 79.8]),)","(array([44.9, 65.9]),)","(array([22.9, 42. ]),)","(array([22.4, 37.8]),)"
4179,Tankan Small Manufacturing Index_0.5,AUDJPY,2,0.865,379.3,387.0,[157.1 222.2],[161.7 225.3],[ 62.4 118.6],[ 50.3 101.7],[ 94.7 159.5],[111.3 189.6],[ 7.6 18.9],[ 9.2 22.1],[13.6 24. ],[14.  23.2],"(array([17.3, 24.9]),)","(array([16.5, 22.9]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
4180,Tankan Small Manufacturing Index_1,AUDJPY,2,0.77,562.2,501.4,[225.  337.2],[209.6 291.8],[ 90.7 182.5],[ 60.5 122.4],[134.3 229.3],[149.1 243.3],[17.9 40.3],[15.9 39.4],[32.2 52.8],[29.6 51.2],"(array([36.8, 50.9]),)","(array([37.5, 52.3]),)","(array([48. , 79.5]),)","(array([43.2, 62.8]),)","(array([23.3, 42.4]),)","(array([21.9, 36.6]),)"
