index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
1271,German 2-Year Schatz Auction_4,EURJPY,2,0.9,1320.5,1914.5,[525.1 795.4],[ 765.6 1148.9],[276.  534.8],[502.8 932.4],[249.2 470.1],[262.7 434.3],[127.6 212.3],[170.4 229.4],[126.6 209.4],[ 85.9 155. ],"(array([132.1, 190.6]),)","(array([113.8, 173.9]),)","(array([59. , 98.4]),)","(array([60.1, 88.3]),)","(array([30.8, 60.7]),)","(array([29.3, 50.8]),)"
1272,German 30-Year Bund Auction_0.5,EURJPY,3,0.93,385.7,460.4,[155.5 230.2],[194.8 265.6],[ 75.6 146.7],[ 99.  176.9],[ 79.9 145.1],[ 95.8 171.6],[11.3 23. ],[ 9.3 21.1],[12.3 24.5],[ 8.8 20.2],"(array([18.1, 26.4]),)","(array([18.5, 25.9]),)","(array([47.2, 78.8]),)","(array([61.4, 94.7]),)","(array([25.3, 52.8]),)","(array([31.7, 63.9]),)"
1273,German 30-Year Bund Auction_1,EURJPY,2,0.865,552.1,551.6,[219.5 332.6],[225.1 326.5],[104.8 205.6],[133.2 227. ],[114.8 217. ],[ 91.8 164. ],[25.5 48.1],[29.7 51.7],[25.2 46.3],[17.5 37. ],"(array([34.4, 50.4]),)","(array([33.1, 50. ]),)","(array([47.2, 79.1]),)","(array([57.7, 93.8]),)","(array([25.3, 53.1]),)","(array([29.4, 62. ]),)"
1274,German 30-Year Bund Auction_1.5,EURJPY,2,0.915,711.2,889.5,[281.8 429.4],[343.7 545.8],[129.8 244. ],[176.2 292.3],[152.  293.9],[167.6 324.6],[41.8 73.9],[49.7 80.8],[42.  74.9],[43.7 79.2],"(array([52.5, 74.5]),)","(array([55.1, 77.9]),)","(array([47.2, 79.1]),)","(array([57.7, 93.8]),)","(array([25.3, 53.1]),)","(array([29.4, 62. ]),)"
1275,German 30-Year Bund Auction_2,EURJPY,2,0.92,805.8,1026.8,[327.2 478.6],[404.  622.8],[157.4 285. ],[212.7 327.3],[169.8 327.4],[191.2 393.4],[53.7 96.6],[50.7 87.9],[54.8 98.7],[46.6 92.2],"(array([ 69.5, 100.6]),)","(array([65.6, 98.2]),)","(array([47.2, 79.3]),)","(array([56.5, 93.1]),)","(array([25.3, 53.3]),)","(array([28.9, 61.7]),)"
1276,German 30-Year Bund Auction_2.5,EURJPY,2,0.89,909.1,1078.2,[370.5 538.6],[437.1 641.1],[180.3 332.7],[225.8 348.1],[190.2 366.9],[211.2 412.5],[ 68.8 125. ],[ 67.7 123.9],[ 67.1 118.8],[ 70.9 127.6],"(array([ 90.1, 127.2]),)","(array([ 98.1, 139.3]),)","(array([47.2, 79.3]),)","(array([56.5, 93.1]),)","(array([25.3, 53.3]),)","(array([28.9, 61.7]),)"
1277,German 30-Year Bund Auction_3,EURJPY,2,0.89,1050.6,1223.6999999999998,[425.7 624.9],[497.9 725.8],[206.9 383.6],[258.1 450.8],[218.8 423.1],[239.8 454.4],[ 86.1 153.8],[ 79.6 146.5],[ 84.4 149.7],[ 89.3 157.6],"(array([111.1, 155.5]),)","(array([110.4, 155.3]),)","(array([47.2, 79.3]),)","(array([56.5, 93.1]),)","(array([25.3, 53.3]),)","(array([28.9, 61.7]),)"
1278,German 30-Year Bund Auction_3.5,EURJPY,2,0.9,1239.9,1657.6,[494.7 745.2],[ 648.8 1008.8],[225.7 418.9],[262.8 457.3],[269.  524.7],[386.  717.5],[105.1 184.7],[ 83.  155.2],[106.5 185. ],[137.7 211.7],"(array([136.2, 185.1]),)","(array([131.3, 185.9]),)","(array([47.2, 79.3]),)","(array([56.5, 93.1]),)","(array([25.3, 53.3]),)","(array([28.9, 61.7]),)"
1279,German 30-Year Bund Auction_4,EURJPY,2,0.91,1342.3,1762.1,[536.9 805.4],[ 703.8 1058.3],[247.9 456.4],[268.6 466.8],[289.  560.1],[435.2 787.2],[124.7 214.7],[ 83.7 157.2],[113.8 198.2],[146.9 229.5],"(array([148.1, 201.9]),)","(array([141.3, 203.3]),)","(array([47.2, 79.3]),)","(array([56.5, 93.1]),)","(array([25.3, 53.3]),)","(array([28.9, 61.7]),)"
1280,German 5-Year Bobl Auction_0.5,EURJPY,2,0.915,449.5,749.1,[177.1 272.4],[304.  445.1],[ 82.  158.8],[ 91.7 172.6],[ 95.1 179. ],[212.3 323.8],[10.7 23.2],[ 8.1 21.1],[12.4 24.7],[15.9 27.9],"(array([20. , 28.4]),)","(array([21.8, 31.6]),)","(array([ 61.8, 102.3]),)","(array([ 84.1, 142.9]),)","(array([31.5, 59.5]),)","(array([27. , 49.9]),)"
