index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
8319, RBA Meeting Minutes _2,NZDCAD,2,0.875,604.9,489.6,[237.2 367.7],[209.7 279.9],[115.1 220.4],[ 73.6 140.4],[122.1 232.6],[136.2 227.6],[53.  94.5],[47.2 93.5],[55.  97.6],[54.1 95.8],"(array([67.2, 95.4]),)","(array([ 73.2, 101.9]),)","(array([31.1, 46.1]),)","(array([27.7, 35.9]),)","(array([16. , 27.8]),)","(array([13.7, 21.9]),)"
8320, RBA Meeting Minutes _2.5,NZDCAD,2,0.91,666.0,505.3,[260.9 405.1],[218.8 286.5],[125.3 238.2],[ 77.  143.3],[135.6 263.6],[141.8 236.7],[ 61.4 110.5],[ 61.4 118.9],[ 70.3 124.4],[ 74.4 124.7],"(array([ 84.6, 118.7]),)","(array([ 97.5, 129.4]),)","(array([31.4, 46.5]),)","(array([27.7, 35.9]),)","(array([16.1, 28.1]),)","(array([13.7, 21.9]),)"
8321, RBA Meeting Minutes _3,NZDCAD,2,0.88,748.3,688.0,[290.1 458.2],[270.4 417.6],[141.  270.6],[126.4 250.5],[149.1 289.1],[144.  239.9],[ 78.9 143.3],[ 81.7 151.7],[ 76.8 137.2],[ 77.8 132.8],"(array([ 96.8, 141.8]),)","(array([104.7, 149.1]),)","(array([31.1, 46.1]),)","(array([27.7, 35.9]),)","(array([16. , 28.2]),)","(array([13.7, 21.9]),)"
8322, RBA Meeting Minutes _3.5,NZDCAD,2,0.865,801.8,714.1,[308.1 493.7],[283.8 430.3],[149.7 287. ],[139.8 268.3],[158.4 315.2],[144.  239.9],[ 96.  171.5],[ 94.1 175.5],[ 84.9 154.8],[ 77.8 132.8],"(array([114.8, 168.4]),)","(array([117.1, 163.4]),)","(array([31.6, 46.5]),)","(array([27.7, 35.9]),)","(array([16.3, 28.6]),)","(array([13.7, 21.9]),)"
8323, RBA Meeting Minutes _4,NZDCAD,3,0.6133333333333333,825.8,739.6,[319.1 506.7],[295.6 444. ],[152.5 290.3],[142.  271.3],[166.6 328.9],[153.6 245.5],[101.8 184.5],[108.  201.6],[106.5 192.6],[116.3 197.7],"(array([134.4, 194.7]),)","(array([134.5, 179. ]),)","(array([31.6, 46.6]),)","(array([27.7, 35.9]),)","(array([16.4, 28.7]),)","(array([13.7, 21.9]),)"
8324, RBA Monetary Policy Statement _0.5,NZDCAD,3,0.8833333333333333,296.4,201.5,[118.8 177.6],[ 81.7 119.8],[48.4 89. ],[30.  53.3],[ 70.4 126.4],[51.7 97.3],[12.7 24.2],[12.7 23.2],[ 9.7 21.2],[11.6 23.6],"(array([17. , 24.9]),)","(array([11.9, 18.1]),)","(array([39.5, 72. ]),)","(array([30.6, 43.6]),)","(array([19.9, 42.4]),)","(array([14.9, 25.3]),)"
8325, RBA Monetary Policy Statement _1,NZDCAD,2,0.89,407.5,320.79999999999995,[166.4 241.1],[130.7 190.1],[ 68.5 118.8],[ 59.2 102.5],[ 97.9 175.3],[ 71.5 121.8],[28.3 51.2],[30.2 52.9],[30.8 54.2],[37.  55.9],"(array([38.7, 53.9]),)","(array([32.2, 48.7]),)","(array([39.4, 72.4]),)","(array([30.6, 43.6]),)","(array([20.3, 43.1]),)","(array([14.9, 25.3]),)"
8326, RBA Monetary Policy Statement _1.5,NZDCAD,2,0.84,543.2,436.8,[214.3 328.9],[176.  260.8],[ 87.8 166.3],[ 80.7 149.1],[126.5 240. ],[ 95.2 164.4],[41.2 72.7],[46.2 80.8],[44.3 77. ],[51.2 80.4],"(array([50.3, 72.3]),)","(array([46.7, 69.3]),)","(array([38.8, 72.4]),)","(array([30.6, 43.6]),)","(array([20.3, 43.5]),)","(array([14.9, 25.3]),)"
8327, RBA Monetary Policy Statement _2,NZDCAD,2,0.85,602.0,455.0,[235.5 366.5],[186.3 268.7],[ 91.4 186.4],[ 86.8 155.1],[144.1 263.8],[ 99.5 170.3],[50.6 93.1],[ 61.  108.4],[56.2 94.5],[62.5 97.7],"(array([63.6, 88.8]),)","(array([64.3, 94.8]),)","(array([39.3, 73.6]),)","(array([30.6, 43.6]),)","(array([20.7, 44.4]),)","(array([14.9, 25.3]),)"
8328, RBA Monetary Policy Statement _2.5,NZDCAD,2,0.86,634.0,501.6,[251.8 382.2],[208.1 293.5],[ 98.8 169.7],[ 97.2 165.5],[153.  291.8],[110.8 192.3],[ 77.1 131.1],[ 82.  139.8],[ 69.8 120.4],[ 66.2 107.9],"(array([ 86. , 116.5]),)","(array([ 81.2, 115.8]),)","(array([40.7, 77.4]),)","(array([30.6, 43.6]),)","(array([21.4, 46.6]),)","(array([14.9, 25.3]),)"
8329, RBA Monetary Policy Statement _3,NZDCAD,2,0.8,661.9000000000001,524.4000000000001,[266.1 395.8],[217.8 306.6],[110.8 191.4],[106.  180.7],[155.4 294.2],[111.8 193.9],[ 83.1 145. ],[ 89.9 157.2],[ 72.9 128.3],[ 67.9 113. ],"(array([ 95.1, 131.3]),)","(array([ 90.8, 131.5]),)","(array([40.7, 77.4]),)","(array([30.6, 43.6]),)","(array([21.4, 46.6]),)","(array([14.9, 25.3]),)"
8330, RBA Monetary Policy Statement _3.5,NZDCAD,2,0.94,692.5,551.0,[281.8 410.7],[229.2 321.8],[122.9 215.2],[112.4 196.4],[158.9 296.1],[116.7 197.7],[100.8 177.5],[105.9 186.9],[ 90.4 158.2],[ 83.7 142.2],"(array([117.6, 168.6]),)","(array([114.2, 167.2]),)","(array([37.4, 67.4]),)","(array([30.6, 43.6]),)","(array([17.8, 30.4]),)","(array([14.9, 25.3]),)"
8331, RBA Monetary Policy Statement _4,NZDCAD,2,0.94,717.4000000000001,566.5999999999999,[291.1 426.3],[234.2 332.4],[129.9 225.5],[117.5 207.6],[161.1 304.6],[116.7 197.7],[121.3 206.7],[128.9 214.3],[ 95.3 168.5],[ 83.7 142.2],"(array([136.2, 191.9]),)","(array([126.9, 185.2]),)","(array([37.4, 67.4]),)","(array([30.6, 43.6]),)","(array([17.8, 30.4]),)","(array([14.9, 25.3]),)"
8332, RBA Rate Statement _0.5,NZDCAD,4,0.82,391.3,310.1,[132.3 259. ],[121.7 188.4],[ 59.  110.1],[35.5 68.5],[ 73.3 193.6],[ 86.2 152.3],[10.6 21.7],[ 9.  21.5],[ 8.2 19.3],[ 9.3 22. ],"(array([15.6, 24.9]),)","(array([17.3, 28.2]),)","(array([ 48.3, 113. ]),)","(array([44.4, 90.2]),)","(array([20.5, 45.5]),)","(array([19.2, 37.3]),)"
8333, RBA Rate Statement _1,NZDCAD,3,0.58,474.8,377.8,[170.5 304.3],[149.5 228.3],[ 80.2 140.4],[ 51.7 102.2],[ 90.3 217.4],[ 97.7 172.4],[30.1 53.9],[30.3 55. ],[24.5 49.5],[21.  45.9],"(array([35.6, 55.1]),)","(array([45., 63.]),)","(array([ 49.6, 117.1]),)","(array([44.4, 90.2]),)","(array([21., 47.]),)","(array([19.2, 37.3]),)"
8334, RBA Rate Statement _1.5,NZDCAD,2,0.83,627.2,553.7,[240.1 387.1],[228.7 325. ],[108.6 187.4],[ 78.2 146.2],[131.5 278.8],[150.6 243.5],[44.2 73.1],[43.4 69.7],[44.8 78.9],[46.  81.5],"(array([39.3, 64.7]),)","(array([35.4, 59.1]),)","(array([ 49.8, 118.4]),)","(array([44.4, 90.2]),)","(array([21.2, 47.6]),)","(array([19.2, 37.3]),)"
8335, RBA Rate Statement _2,NZDCAD,2,0.795,647.8,669.3,[253.3 394.5],[270.5 398.8],[116.  201.4],[ 87.  158.4],[137.3 278.3],[183.5 288. ],[51.8 88.2],[51.2 85.4],[54.5 95.4],[58.2 98.6],"(array([51.5, 84. ]),)","(array([52.4, 78.2]),)","(array([43.9, 84.6]),)","(array([44.4, 90.2]),)","(array([19.4, 40.6]),)","(array([19.2, 37.3]),)"
8336, RBA Rate Statement _2.5,NZDCAD,4,0.6625,679.9,700.7,[268.5 411.4],[288.1 412.6],[126.9 219.1],[ 97.8 182.3],[141.6 285.2],[190.2 292.7],[ 68.1 117.9],[ 75.2 127.9],[ 63.8 113.1],[ 83.3 133.9],"(array([ 72.2, 113. ]),)","(array([ 89. , 128.9]),)","(array([44.2, 85. ]),)","(array([44.4, 90.2]),)","(array([19.4, 40.4]),)","(array([19.2, 37.3]),)"
